Time,Species.1,Species.2,Species.3
12.9,0.0167551,0.017617,0.0673159
13,0.0165905,0.0176779,0.0674202
13.1,0.0164276,0.0177408,0.067521
13.2,0.0162662,0.0178057,0.0676181
13.3,0.0161064,0.0178725,0.0677116
13.4,0.0159482,0.0179414,0.0678014
13.5,0.0157917,0.0180123,0.0678877
13.6,0.0156367,0.0180852,0.0679704
13.7,0.0154833,0.01816,0.0680495
13.8,0.0153315,0.0182368,0.0681251
13.9,0.0151813,0.0183156,0.068197
14,0.0150328,0.0183963,0.0682654
14.1,0.0148858,0.018479,0.0683302
14.2,0.0147405,0.0185637,0.0683915
14.3,0.0145968,0.0186503,0.0684492
14.4,0.0144546,0.0187388,0.0685035
14.5,0.0143141,0.0188293,0.0685541
14.6,0.0141752,0.0189217,0.0686013
14.7,0.014038,0.019016,0.068645
14.8,0.0139023,0.0191123,0.0686852
14.9,0.0137682,0.0192104,0.0687219
15,0.0136357,0.0193105,0.0687551
15.1,0.0135047,0.0194125,0.0687849
15.2,0.0133754,0.0195164,0.0688113
15.3,0.0132477,0.0196222,0.0688342
15.4,0.0131215,0.0197298,0.0688537
15.5,0.0129969,0.0198394,0.0688698
15.6,0.0128738,0.0199508,0.0688825
15.7,0.0127523,0.0200641,0.0688918
15.8,0.0126323,0.0201793,0.0688978
15.9,0.0125139,0.0202963,0.0689004
16,0.012397,0.0204152,0.0688997
16.1,0.0122817,0.020536,0.0688957
16.2,0.0121678,0.0206586,0.0688884
16.3,0.0120555,0.020783,0.0688777
16.4,0.0119446,0.0209093,0.0688639
16.5,0.0118352,0.0210374,0.0688467
16.6,0.0117274,0.0211673,0.0688263
16.7,0.011621,0.021299,0.0688027
16.8,0.011516,0.0214326,0.0687759
16.9,0.0114125,0.0215679,0.0687459
17,0.0113105,0.0217051,0.0687128
17.1,0.0112098,0.021844,0.0686765
17.2,0.0111107,0.0219847,0.068637
17.3,0.0110129,0.0221271,0.0685944
17.4,0.0109165,0.0222713,0.0685488
17.5,0.0108215,0.0224173,0.0685
17.6,0.0107279,0.022565,0.0684482
17.7,0.0106357,0.0227145,0.0683933
17.8,0.0105448,0.0228656,0.0683355
17.9,0.0104553,0.0230185,0.0682746
18,0.0103671,0.0231731,0.0682107
18.1,0.0102803,0.0233294,0.0681439
18.2,0.0101947,0.0234874,0.0680741
18.3,0.0101105,0.023647,0.0680014
18.4,0.0100276,0.0238083,0.0679258
18.5,0.00994597,0.0239712,0.0678473
18.6,0.00986562,0.0241358,0.067766
18.7,0.00978654,0.024302,0.0676818
18.8,0.00970871,0.0244699,0.0675948
18.9,0.00963214,0.0246393,0.067505
19,0.0095568,0.0248103,0.0674124
19.1,0.00948269,0.0249829,0.0673171
19.2,0.00940979,0.025157,0.0672191
19.3,0.0093381,0.0253327,0.0671183
19.4,0.0092676,0.0255099,0.0670149
19.5,0.00919829,0.0256887,0.0669088
19.6,0.00913016,0.0258689,0.0668001
19.7,0.00906319,0.0260506,0.0666888
19.8,0.00899738,0.0262338,0.0665749
19.9,0.00893271,0.0264184,0.0664584
20,0.00886918,0.0266045,0.0663394
20.1,0.00880677,0.0267919,0.0662179
20.2,0.00874548,0.0269808,0.0660939
20.3,0.0086853,0.0271711,0.0659675
20.4,0.00862621,0.0273627,0.0658386
20.5,0.00856821,0.0275556,0.0657073
20.6,0.00851129,0.0277499,0.0655736
20.7,0.00845544,0.0279455,0.0654376
20.8,0.00840065,0.0281423,0.0652993
20.9,0.00834691,0.0283404,0.0651586
21,0.00829422,0.0285398,0.0650157
21.1,0.00824255,0.0287403,0.0648706
21.2,0.00819191,0.0289421,0.0647232
21.3,0.00814229,0.029145,0.0645737
21.4,0.00809368,0.0293491,0.0644219
21.5,0.00804607,0.0295543,0.0642681
21.6,0.00799944,0.0297606,0.0641122
21.7,0.00795381,0.029968,0.0639542
21.8,0.00790914,0.0301764,0.0637941
21.9,0.00786545,0.0303859,0.0636321
22,0.00782271,0.0305964,0.063468
22.1,0.00778093,0.0308078,0.0633021
22.2,0.0077401,0.0310202,0.0631342
22.3,0.0077002,0.0312336,0.0629644
22.4,0.00766123,0.0314478,0.0627927
22.5,0.00762319,0.0316629,0.0626192
22.6,0.00758606,0.0318788,0.062444
22.7,0.00754984,0.0320956,0.062267
22.8,0.00751453,0.0323131,0.0620882
22.9,0.00748011,0.0325315,0.0619077
23,0.00744658,0.0327505,0.0617256
23.1,0.00741394,0.0329702,0.0615419
23.2,0.00738218,0.0331907,0.0613565
23.3,0.00735129,0.0334117,0.0611696
23.4,0.00732126,0.0336334,0.0609811
23.5,0.0072921,0.0338557,0.0607912
23.6,0.00726379,0.0340785,0.0605998
23.7,0.00723634,0.0343018,0.0604069
23.8,0.00720972,0.0345256,0.0602127
23.9,0.00718395,0.0347499,0.060017
24,0.00715901,0.0349746,0.0598201
24.1,0.00713491,0.0351997,0.0596218
24.2,0.00711162,0.0354252,0.0594223
24.3,0.00708916,0.035651,0.0592215
24.4,0.00706752,0.0358771,0.0590196
24.5,0.00704668,0.0361035,0.0588165
24.6,0.00702666,0.0363301,0.0586122
24.7,0.00700744,0.0365569,0.0584069
24.8,0.00698902,0.0367838,0.0582005
24.9,0.0069714,0.0370109,0.0579931
25,0.00695457,0.0372381,0.0577847
25.1,0.00693853,0.0374654,0.0575754
25.2,0.00692328,0.0376927,0.0573651
25.3,0.00690881,0.03792,0.0571539
25.4,0.00689513,0.0381472,0.0569419
25.5,0.00688222,0.0383744,0.0567291
25.6,0.00687009,0.0386015,0.0565155
25.7,0.00685873,0.0388284,0.0563011
25.8,0.00684814,0.0390552,0.0560861
25.9,0.00683832,0.0392818,0.0558704
26,0.00682926,0.0395081,0.055654
26.1,0.00682097,0.0397341,0.055437
26.2,0.00681345,0.0399598,0.0552195
26.3,0.00680668,0.0401852,0.0550014
26.4,0.00680068,0.0404102,0.0547828
26.5,0.00679543,0.0406348,0.0545637
26.6,0.00679094,0.0408589,0.0543442
26.7,0.00678721,0.0410825,0.0541244
26.8,0.00678423,0.0413056,0.0539041
26.9,0.00678201,0.0415282,0.0536835
27,0.00678055,0.0417501,0.0534626
27.1,0.00677983,0.0419714,0.0532415
27.2,0.00677987,0.0421921,0.0530201
27.3,0.00678067,0.0424121,0.0527985
27.4,0.00678221,0.0426313,0.0525768
27.5,0.00678452,0.0428498,0.0523549
27.6,0.00678757,0.0430675,0.0521329
27.7,0.00679138,0.0432843,0.0519109
27.8,0.00679594,0.0435003,0.0516888
27.9,0.00680126,0.0437154,0.0514668
28,0.00680734,0.0439295,0.0512447
28.1,0.00681418,0.0441427,0.0510228
28.2,0.00682177,0.0443549,0.0508009
28.3,0.00683012,0.044566,0.0505791
28.4,0.00683924,0.044776,0.0503575
28.5,0.00684912,0.044985,0.0501361
28.6,0.00685976,0.0451928,0.049915
28.7,0.00687117,0.0453994,0.049694
28.8,0.00688335,0.0456049,0.0494734
28.9,0.0068963,0.0458091,0.049253
29,0.00691002,0.046012,0.049033
29.1,0.00692452,0.0462137,0.0488134
29.2,0.00693979,0.046414,0.0485941
29.3,0.00695585,0.0466129,0.0483753
29.4,0.00697269,0.0468105,0.048157
29.5,0.00699032,0.0470066,0.0479391
29.6,0.00700874,0.0472012,0.0477217
29.7,0.00702795,0.0473944,0.0475049
29.8,0.00704796,0.047586,0.0472886
29.9,0.00706876,0.0477761,0.047073
30,0.00709037,0.0479646,0.0468579
30.1,0.00711279,0.0481515,0.0466436
30.2,0.00713602,0.0483368,0.0464298
30.3,0.00716007,0.0485204,0.0462168
30.4,0.00718493,0.0487022,0.0460045
30.5,0.00721062,0.0488824,0.045793
30.6,0.00723714,0.0490608,0.0455822
30.7,0.00726449,0.0492374,0.0453723
30.8,0.00729268,0.0494121,0.0451631
30.9,0.00732171,0.049585,0.0449549
31,0.00735159,0.0497561,0.0447474
31.1,0.00738233,0.0499252,0.0445409
31.2,0.00741392,0.0500924,0.0443353
31.3,0.00744637,0.0502577,0.0441307
31.4,0.00747969,0.0504209,0.043927
31.5,0.00751389,0.0505822,0.0437243
31.6,0.00754896,0.0507414,0.0435226
31.7,0.00758492,0.0508985,0.0433219
31.8,0.00762178,0.0510535,0.0431223
31.9,0.00765953,0.0512064,0.0429238
32,0.00769818,0.0513572,0.0427264
32.1,0.00773775,0.0515058,0.04253
32.2,0.00777823,0.0516522,0.0423349
32.3,0.00781963,0.0517963,0.0421408
32.4,0.00786196,0.0519382,0.041948
32.5,0.00790523,0.0520779,0.0417563
32.6,0.00794944,0.0522152,0.0415659
32.7,0.00799459,0.0523502,0.0413766
32.8,0.00804071,0.0524829,0.0411887
32.9,0.00808779,0.0526132,0.041002
33,0.00813583,0.052741,0.0408165
33.1,0.00818486,0.0528665,0.0406324
33.2,0.00823487,0.0529895,0.0404496
33.3,0.00828587,0.0531101,0.0402682
33.4,0.00833787,0.0532282,0.0400881
33.5,0.00839087,0.0533437,0.0399094
33.6,0.00844489,0.0534567,0.039732
33.7,0.00849993,0.0535672,0.0395561
33.8,0.008556,0.0536751,0.0393816
33.9,0.00861311,0.0537803,0.0392085
34,0.00867126,0.053883,0.0390368
34.1,0.00873046,0.053983,0.0388667
34.2,0.00879072,0.0540803,0.038698
34.3,0.00885204,0.054175,0.0385308
34.4,0.00891444,0.054267,0.0383651
34.5,0.00897793,0.0543562,0.0382009
34.6,0.0090425,0.0544426,0.0380383
34.7,0.00910817,0.0545263,0.0378772
34.8,0.00917495,0.0546073,0.0377177
34.9,0.00924284,0.0546854,0.0375598
35,0.00931185,0.0547607,0.0374035
35.1,0.00938199,0.0548331,0.0372487
35.2,0.00945327,0.0549027,0.0370956
35.3,0.00952568,0.0549693,0.0369441
35.4,0.00959926,0.0550331,0.0367943
35.5,0.00967398,0.055094,0.0366461
35.6,0.00974988,0.0551519,0.0364995
35.7,0.00982695,0.0552069,0.0363547
35.8,0.0099052,0.0552589,0.0362115
35.9,0.00998464,0.0553079,0.0360701
36,0.0100653,0.0553539,0.0359303
36.1,0.0101471,0.0553969,0.0357923
36.2,0.0102301,0.0554369,0.035656
36.3,0.0103144,0.0554738,0.0355215
36.4,0.0103999,0.0555076,0.0353887
36.5,0.0104866,0.0555383,0.0352577
36.6,0.0105745,0.055566,0.0351285
36.7,0.0106637,0.0555905,0.0350011
36.8,0.0107542,0.0556119,0.0348754
36.9,0.0108458,0.0556301,0.0347516
37,0.0109388,0.0556452,0.0346296
37.1,0.011033,0.0556572,0.0345094
37.2,0.0111285,0.0556659,0.0343911
37.3,0.0112252,0.0556715,0.0342747
37.4,0.0113232,0.0556738,0.03416
37.5,0.0114225,0.0556729,0.0340473
37.6,0.0115231,0.0556688,0.0339365
37.7,0.011625,0.0556615,0.0338275
37.8,0.0117281,0.0556509,0.0337205
37.9,0.0118326,0.0556371,0.0336153
38,0.0119384,0.05562,0.0335121
38.1,0.0120454,0.0555996,0.0334109
38.2,0.0121538,0.0555759,0.0333115
38.3,0.0122634,0.0555489,0.0332142
38.4,0.0123744,0.0555186,0.0331187
38.5,0.0124867,0.055485,0.0330253
38.6,0.0126003,0.0554481,0.0329338
38.7,0.0127151,0.0554079,0.0328444
38.8,0.0128313,0.0553643,0.0327569
38.9,0.0129488,0.0553174,0.0326714
39,0.0130676,0.0552672,0.032588
39.1,0.0131877,0.0552136,0.0325066
39.2,0.013309,0.0551567,0.0324272
39.3,0.0134317,0.0550965,0.0323499
39.4,0.0135557,0.0550329,0.0322747
39.5,0.0136809,0.0549659,0.0322015
39.6,0.0138074,0.0548956,0.0321304
39.7,0.0139352,0.054822,0.0320613
39.8,0.0140643,0.054745,0.0319944
39.9,0.0141946,0.0546647,0.0319296
40,0.0143262,0.054581,0.0318669
40.1,0.014459,0.054494,0.0318063
40.2,0.014593,0.0544036,0.0317479
40.3,0.0147283,0.0543099,0.0316916
40.4,0.0148647,0.0542129,0.0316374
40.5,0.0150024,0.0541126,0.0315855
40.6,0.0151413,0.054009,0.0315357
40.7,0.0152813,0.053902,0.0314881
40.8,0.0154225,0.0537918,0.0314427
40.9,0.0155648,0.0536783,0.0313994
41,0.0157083,0.0535615,0.0313584
41.1,0.0158528,0.0534415,0.0313197
41.2,0.0159985,0.0533182,0.0312831
41.3,0.0161453,0.0531917,0.0312488
41.4,0.0162931,0.053062,0.0312168
41.5,0.0164419,0.052929,0.031187
41.6,0.0165917,0.0527929,0.0311595
41.7,0.0167426,0.0526537,0.0311343
41.8,0.0168944,0.0525112,0.0311114
41.9,0.0170472,0.0523657,0.0310908
42,0.0172008,0.0522171,0.0310725
42.1,0.0173554,0.0520653,0.0310565
42.2,0.0175108,0.0519105,0.0310428
42.3,0.0176671,0.0517527,0.0310315
42.4,0.0178242,0.0515919,0.0310226
42.5,0.017982,0.0514281,0.031016
42.6,0.0181406,0.0512613,0.0310118
42.7,0.0182999,0.0510917,0.0310099
42.8,0.0184599,0.0509191,0.0310105
42.9,0.0186205,0.0507437,0.0310134
43,0.0187817,0.0505654,0.0310188
43.1,0.0189435,0.0503843,0.0310266
43.2,0.0191059,0.0502005,0.0310368
43.3,0.0192687,0.050014,0.0310495
43.4,0.019432,0.0498248,0.0310646
43.5,0.0195957,0.0496329,0.0310821
43.6,0.0197597,0.0494384,0.0311022
43.7,0.0199241,0.0492414,0.0311247
43.8,0.0200887,0.0490418,0.0311497
43.9,0.0202536,0.0488398,0.0311771
44,0.0204187,0.0486353,0.0312071
44.1,0.0205839,0.0484284,0.0312396
44.2,0.0207492,0.0482192,0.0312746
44.3,0.0209145,0.0480077,0.0313122
44.4,0.0210798,0.047794,0.0313522
44.5,0.0212451,0.047578,0.0313948
44.6,0.0214103,0.0473599,0.03144
44.7,0.0215752,0.0471397,0.0314877
44.8,0.02174,0.0469175,0.031538
44.9,0.0219044,0.0466933,0.0315908
45,0.0220686,0.0464672,0.0316462
45.1,0.0222323,0.0462392,0.0317042
45.2,0.0223956,0.0460093,0.0317648
45.3,0.0225584,0.0457777,0.031828
45.4,0.0227206,0.0455445,0.0318938
45.5,0.0228822,0.0453095,0.0319621
45.6,0.023043,0.045073,0.0320331
45.7,0.0232032,0.044835,0.0321067
45.8,0.0233625,0.0445955,0.0321829
45.9,0.0235209,0.0443547,0.0322617
46,0.0236784,0.0441125,0.0323431
46.1,0.0238349,0.0438691,0.0324272
46.2,0.0239904,0.0436244,0.0325139
46.3,0.0241447,0.0433786,0.0326032
46.4,0.0242978,0.0431318,0.0326951
