time,total_AbsAbun,Shannon
0,0.15,1.58496
0.1,0.14319,1.58488
0.2,0.137546,1.58466
0.3,0.132815,1.5843
0.4,0.128811,1.58384
0.5,0.125395,1.58327
0.6,0.122461,1.5826
0.7,0.119926,1.58185
0.8,0.117725,1.58101
0.9,0.115805,1.58009
1,0.114125,1.5791
1.1,0.11265,1.57804
1.2,0.111351,1.57691
1.3,0.110205,1.57572
1.4,0.10919,1.57446
1.5,0.108292,1.57314
1.6,0.107494,1.57175
1.7,0.106786,1.57031
1.8,0.106156,1.56882
1.9,0.105595,1.56726
2,0.105095,1.56565
2.1,0.104649,1.56399
2.2,0.104252,1.56227
2.3,0.103898,1.56051
2.4,0.103582,1.55869
2.5,0.103301,1.55682
2.6,0.10305,1.5549
2.7,0.102827,1.55294
2.8,0.102628,1.55092
2.9,0.102451,1.54886
3,0.102294,1.54676
3.1,0.102154,1.54461
3.2,0.102031,1.54241
3.3,0.101922,1.54018
3.4,0.101825,1.5379
3.5,0.10174,1.53558
3.6,0.101666,1.53321
3.7,0.101601,1.53081
3.8,0.101544,1.52837
3.9,0.101495,1.52589
4,0.101452,1.52337
4.1,0.101416,1.52082
4.2,0.101385,1.51823
4.3,0.101358,1.5156
4.4,0.101337,1.51294
4.5,0.101319,1.51025
4.6,0.101305,1.50752
4.7,0.101293,1.50476
4.8,0.101285,1.50197
4.9,0.101279,1.49916
5,0.101275,1.49631
5.1,0.101274,1.49343
5.2,0.101274,1.49053
5.3,0.101275,1.48759
5.4,0.101278,1.48464
5.5,0.101283,1.48166
5.6,0.101288,1.47865
5.7,0.101294,1.47562
5.8,0.101301,1.47257
5.9,0.101308,1.4695
6,0.101316,1.4664
6.1,0.101325,1.46329
6.2,0.101334,1.46016
6.3,0.101343,1.45701
6.4,0.101353,1.45385
6.5,0.101363,1.45067
6.6,0.101373,1.44748
6.7,0.101383,1.44427
6.8,0.101393,1.44105
6.9,0.101403,1.43782
7,0.101413,1.43457
7.1,0.101423,1.43132
7.2,0.101433,1.42806
7.3,0.101443,1.42479
7.4,0.101452,1.42152
7.5,0.101462,1.41824
7.6,0.101471,1.41495
7.7,0.10148,1.41167
7.8,0.10149,1.40838
7.9,0.101498,1.40508
8,0.101507,1.40179
8.1,0.101515,1.3985
8.2,0.101524,1.39521
8.3,0.101532,1.39193
8.4,0.101539,1.38865
8.5,0.101547,1.38537
8.6,0.101554,1.3821
8.7,0.101561,1.37884
8.8,0.101568,1.37558
8.9,0.101574,1.37233
9,0.101581,1.3691
9.1,0.101587,1.36587
9.2,0.101593,1.36266
9.3,0.101598,1.35946
9.4,0.101604,1.35628
9.5,0.101609,1.35311
9.6,0.101614,1.34995
9.7,0.101618,1.34682
9.8,0.101623,1.3437
9.9,0.101627,1.3406
10,0.101631,1.33752
10.1,0.101635,1.33447
10.2,0.101639,1.33143
10.3,0.101642,1.32842
10.4,0.101646,1.32543
10.5,0.101649,1.32247
10.6,0.101652,1.31953
10.7,0.101655,1.31662
10.8,0.101658,1.31373
10.9,0.10166,1.31088
11,0.101662,1.30805
11.1,0.101665,1.30525
11.2,0.101667,1.30248
11.3,0.101669,1.29975
11.4,0.101671,1.29704
11.5,0.101672,1.29437
11.6,0.101674,1.29173
11.7,0.101676,1.28913
11.8,0.101677,1.28656
11.9,0.101678,1.28403
12,0.10168,1.28153
12.1,0.101681,1.27907
12.2,0.101682,1.27665
12.3,0.101683,1.27426
12.4,0.101684,1.27191
12.5,0.101685,1.2696
12.6,0.101686,1.26733
12.7,0.101687,1.26511
12.8,0.101687,1.26292
12.9,0.101688,1.26077
13,0.101689,1.25866
13.1,0.101689,1.2566
13.2,0.10169,1.25457
13.3,0.101691,1.25259
13.4,0.101691,1.25065
13.5,0.101692,1.24876
13.6,0.101692,1.2469
13.7,0.101693,1.24509
13.8,0.101693,1.24333
13.9,0.101694,1.24161
14,0.101695,1.23993
14.1,0.101695,1.2383
14.2,0.101696,1.23671
14.3,0.101696,1.23516
14.4,0.101697,1.23366
14.5,0.101698,1.23221
14.6,0.101698,1.2308
14.7,0.101699,1.22943
14.8,0.1017,1.22811
14.9,0.1017,1.22684
15,0.101701,1.22561
15.1,0.101702,1.22442
15.2,0.101703,1.22328
15.3,0.101704,1.22218
15.4,0.101705,1.22113
15.5,0.101706,1.22013
15.6,0.101707,1.21916
15.7,0.101708,1.21824
15.8,0.101709,1.21737
15.9,0.101711,1.21654
16,0.101712,1.21575
16.1,0.101713,1.215
16.2,0.101715,1.2143
16.3,0.101716,1.21364
16.4,0.101718,1.21303
16.5,0.101719,1.21245
16.6,0.101721,1.21192
16.7,0.101723,1.21143
16.8,0.101725,1.21098
16.9,0.101726,1.21057
17,0.101728,1.2102
17.1,0.10173,1.20987
17.2,0.101732,1.20958
17.3,0.101734,1.20933
17.4,0.101737,1.20911
17.5,0.101739,1.20894
17.6,0.101741,1.2088
17.7,0.101743,1.2087
17.8,0.101746,1.20864
17.9,0.101748,1.20861
18,0.101751,1.20862
18.1,0.101754,1.20866
18.2,0.101756,1.20874
18.3,0.101759,1.20885
18.4,0.101762,1.209
18.5,0.101765,1.20917
18.6,0.101767,1.20938
18.7,0.10177,1.20962
18.8,0.101773,1.2099
18.9,0.101776,1.2102
19,0.10178,1.21053
19.1,0.101783,1.21089
19.2,0.101786,1.21128
19.3,0.101789,1.21169
19.4,0.101792,1.21214
19.5,0.101796,1.21261
19.6,0.101799,1.2131
19.7,0.101803,1.21362
19.8,0.101806,1.21417
19.9,0.10181,1.21473
20,0.101813,1.21533
20.1,0.101817,1.21594
20.2,0.10182,1.21657
20.3,0.101824,1.21723
20.4,0.101827,1.2179
20.5,0.101831,1.2186
20.6,0.101835,1.21931
20.7,0.101839,1.22004
20.8,0.101842,1.22079
20.9,0.101846,1.22156
21,0.10185,1.22234
21.1,0.101853,1.22313
21.2,0.101857,1.22395
21.3,0.101861,1.22477
21.4,0.101865,1.22561
21.5,0.101868,1.22646
21.6,0.101872,1.22732
21.7,0.101876,1.2282
21.8,0.10188,1.22908
21.9,0.101883,1.22997
22,0.101887,1.23088
22.1,0.101891,1.23179
22.2,0.101894,1.23271
22.3,0.101898,1.23363
22.4,0.101902,1.23456
22.5,0.101905,1.2355
22.6,0.101909,1.23645
22.7,0.101912,1.2374
22.8,0.101916,1.23835
22.9,0.101919,1.23931
23,0.101923,1.24027
23.1,0.101926,1.24123
23.2,0.101929,1.24219
23.3,0.101933,1.24316
23.4,0.101936,1.24412
23.5,0.101939,1.24509
23.6,0.101942,1.24605
23.7,0.101945,1.24702
23.8,0.101948,1.24798
23.9,0.101951,1.24894
