AbsAbun,alpha,gamma,name
10.5,37.275,0,44.539
9.86,2.6622,0,2.6622
9.54,1.7172,0,-40.9908
9.16,-3.2664,0,0.5496
8.97,136.6147,0,47.6307
8.97,5.382,0,153.386
9.08,280.661,0,254.978
